Region,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024
Metro Outer West,Hoppers Crossing,B Property and deception offences,B30 Burglary/Break and enter,178
Metro Outer West,Manor Lakes,B Property and deception offences,B40 Theft,178
Other,Carrum Downs,A Crimes against the person,A20 Assault and related offences,178
Metro Inner West,Altona,B Property and deception offences,B40 Theft,178
Other,Frankston,D Public order and security offences,D10 Weapons and explosives offences,178
Metro Inner West,Altona Meadows,B Property and deception offences,B40 Theft,177
Other,Mildura,C Drug offences,C30 Drug use and possession,177
Other,Dandenong,D Public order and security offences,D10 Weapons and explosives offences,177
Metro Inner,Melbourne CBD,A Crimes against the person,A50 Robbery,177
Metro Inner North,Heidelberg Heights,B Property and deception offences,B40 Theft,177
Other,Seymour,B Property and deception offences,B40 Theft,177
Metro Inner,South Melbourne CBD,E Justice procedures offences,E20 Breaches of orders,176
Other,Hamilton,E Justice procedures offences,E20 Breaches of orders,176
Other,Mooroopna,E Justice procedures offences,E20 Breaches of orders,176
Other,Mildura,B Property and deception offences,B50 Deception,176
Metro Outer West,Point Cook,B Property and deception offences,B30 Burglary/Break and enter,175
Other,Moe,A Crimes against the person,A20 Assault and related offences,175
Metro Inner,Fitzroy,B Property and deception offences,B50 Deception,175
Metro Outer South,Lynbrook,B Property and deception offences,B40 Theft,175
Metro Inner South,Murrumbeena,B Property and deception offences,B40 Theft,174
Other,Wonthaggi,E Justice procedures offences,E20 Breaches of orders,172
Metro Outer South,Clyde North,B Property and deception offences,B30 Burglary/Break and enter,172
Metro Inner East,Prahran,A Crimes against the person,A20 Assault and related offences,172
Metro Inner,Melbourne CBD,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",172
Metro Outer West,Ravenhall,B Property and deception offences,B40 Theft,172
Metro Outer South,Hampton Park,A Crimes against the person,A20 Assault and related offences,171
Metro Inner,Richmond,B Property and deception offences,B50 Deception,171
Metro Inner,South Yarra,B Property and deception offences,B50 Deception,171
Metro Inner East,Balwyn North,B Property and deception offences,B40 Theft,171
Metro Inner North,Pascoe Vale South,B Property and deception offences,B40 Theft,171
Metro Inner,Docklands,B Property and deception offences,B20 Property damage,171
Metro Outer West,Fraser Rise,B Property and deception offences,B40 Theft,170
Metro Inner East,Blackburn South,B Property and deception offences,B40 Theft,170
Metro Inner North,Glenroy,E Justice procedures offences,E20 Breaches of orders,170
Metro Outer North,Mill Park,E Justice procedures offences,E20 Breaches of orders,169
Metro Outer North,Doreen,B Property and deception offences,B40 Theft,168
Metro Inner,St Kilda,B Property and deception offences,B50 Deception,167
Metro Outer West,Point Cook,E Justice procedures offences,E20 Breaches of orders,167
Other,Springvale,B Property and deception offences,B20 Property damage,167
Other,Ararat,E Justice procedures offences,E20 Breaches of orders,167
Metro Outer South,Parkdale,B Property and deception offences,B40 Theft,165
Other,Shepparton,C Drug offences,C30 Drug use and possession,165
Other,Seaford,B Property and deception offences,B20 Property damage,165
Other,Echuca,B Property and deception offences,B20 Property damage,165
Metro Inner South,Highett,E Justice procedures offences,E20 Breaches of orders,165
Metro Outer South,Rosebud,E Justice procedures offences,E20 Breaches of orders,164
Other,Benalla,E Justice procedures offences,E20 Breaches of orders,164
Metro Outer South,Dromana,B Property and deception offences,B40 Theft,164
Other,Long Gully,B Property and deception offences,B40 Theft,164
Other,Ararat,B Property and deception offences,B40 Theft,163
Metro Inner,North Melbourne CBD,B Property and deception offences,B30 Burglary/Break and enter,163
Other,Maryborough,B Property and deception offences,B40 Theft,163
Metro Inner West,Cairnlea,B Property and deception offences,B40 Theft,163
Other,Noble Park,B Property and deception offences,B20 Property damage,163
Metro Inner East,Wantirna,B Property and deception offences,B40 Theft,162
Other,Wendouree,A Crimes against the person,A20 Assault and related offences,162
Metro Inner,Collingwood,B Property and deception offences,B20 Property damage,162
Metro Inner South,Beaumaris,B Property and deception offences,B40 Theft,162
Metro Outer South,Mornington,E Justice procedures offences,E20 Breaches of orders,161
Metro Outer North,Thomastown,E Justice procedures offences,E20 Breaches of orders,161
Metro Outer South,Mornington,B Property and deception offences,B20 Property damage,161
Other,Castlemaine,B Property and deception offences,B20 Property damage,161
Other,Sebastopol,E Justice procedures offences,E20 Breaches of orders,160
Metro Outer South,Mornington,A Crimes against the person,A20 Assault and related offences,160
Metro Inner East,Clayton,B Property and deception offences,B30 Burglary/Break and enter,160
Metro Inner East,Ferntree Gully,E Justice procedures offences,E20 Breaches of orders,159
Metro Inner East,Wantirna South,B Property and deception offences,B30 Burglary/Break and enter,159
Other,Seaford,A Crimes against the person,A20 Assault and related offences,159
Other,Shepparton,E Justice procedures offences,E10 Justice procedures,159
Metro Outer South,Dingley Village,B Property and deception offences,B40 Theft,159
Other,Bairnsdale,B Property and deception offences,B20 Property damage,158
Metro Inner North,Coburg,B Property and deception offences,B30 Burglary/Break and enter,157
Metro Inner,Collingwood,A Crimes against the person,A20 Assault and related offences,157
Other,Springvale South,B Property and deception offences,B40 Theft,157
Metro Inner East,Glen Waverley,A Crimes against the person,A20 Assault and related offences,157
Other,Sale,B Property and deception offences,B20 Property damage,157
Other,Ballarat East,B Property and deception offences,B40 Theft,157
Metro Inner South,Caulfield South,B Property and deception offences,B40 Theft,156
Metro Outer North,Craigieburn,B Property and deception offences,B30 Burglary/Break and enter,156
Metro Inner North,Brunswick,A Crimes against the person,A20 Assault and related offences,156
Metro Outer North,Thomastown,A Crimes against the person,A20 Assault and related offences,156
Other,Dandenong North,A Crimes against the person,A20 Assault and related offences,156
Other,Moe,B Property and deception offences,B20 Property damage,156
Metro Inner,Carlton,A Crimes against the person,A20 Assault and related offences,155
Other,Kangaroo Flat,E Justice procedures offences,E20 Breaches of orders,155
Other,Maryborough,E Justice procedures offences,E20 Breaches of orders,155
Metro Outer South,Clyde North,E Justice procedures offences,E20 Breaches of orders,155
Metro Inner North,Bundoora,A Crimes against the person,A20 Assault and related offences,155
Metro Inner West,Williamstown,E Justice procedures offences,E20 Breaches of orders,155
Other,Norlane,B Property and deception offences,B20 Property damage,155
Metro Inner North,Coburg,A Crimes against the person,A20 Assault and related offences,154
Metro Outer West,Melton,A Crimes against the person,A20 Assault and related offences,154
Metro Inner East,Hughesdale,B Property and deception offences,B40 Theft,154
Metro Outer South,Cheltenham,A Crimes against the person,A20 Assault and related offences,154
Other,Mooroopna,B Property and deception offences,B40 Theft,153
Other,Swan Hill,B Property and deception offences,B40 Theft,153
Metro Inner,Carlton,B Property and deception offences,B20 Property damage,153
Other,Colac,B Property and deception offences,B40 Theft,153
Other,Wendouree,B Property and deception offences,B30 Burglary/Break and enter,153
Metro Inner East,Croydon,E Justice procedures offences,E20 Breaches of orders,153
Other,Springvale,C Drug offences,C30 Drug use and possession,153
Metro Outer West,Melton South,A Crimes against the person,A20 Assault and related offences,153
Metro Outer North,Meadow Heights,B Property and deception offences,B40 Theft,152
Metro Inner East,Vermont,B Property and deception offences,B40 Theft,152
Other,Wendouree,E Justice procedures offences,E20 Breaches of orders,152
Other,Shepparton,B Property and deception offences,B50 Deception,152
Other,Morwell,E Justice procedures offences,E10 Justice procedures,152
Metro Inner,South Yarra,E Justice procedures offences,E20 Breaches of orders,152
Other,Echuca,A Crimes against the person,A20 Assault and related offences,151
Metro Inner East,Mulgrave,B Property and deception offences,B30 Burglary/Break and enter,151
Metro Outer South,Cranbourne,B Property and deception offences,B30 Burglary/Break and enter,151
Other,Cobram,E Justice procedures offences,E20 Breaches of orders,151
Metro Outer West,Melton,B Property and deception offences,B20 Property damage,150
Other,Wallan,A Crimes against the person,A20 Assault and related offences,150
Metro Inner East,Camberwell,B Property and deception offences,B30 Burglary/Break and enter,150
Metro Inner East,Vermont South,B Property and deception offences,B40 Theft,150
Other,Shepparton,D Public order and security offences,D10 Weapons and explosives offences,150
Metro Inner East,Surrey Hills,B Property and deception offences,B40 Theft,150
Metro Outer North,Mill Park,A Crimes against the person,A20 Assault and related offences,150
Metro Outer North,Craigieburn,B Property and deception offences,B50 Deception,150
Metro Inner East,Glen Waverley,E Justice procedures offences,E20 Breaches of orders,149
Metro Inner East,Ringwood,B Property and deception offences,B30 Burglary/Break and enter,149
Other,Soldiers Hill,B Property and deception offences,B40 Theft,149
Metro Inner East,Bulleen,B Property and deception offences,B40 Theft,149
Metro Outer North,Gladstone Park,B Property and deception offences,B40 Theft,147
Other,Wallan,E Justice procedures offences,E20 Breaches of orders,146
Metro Outer South,Edithvale,B Property and deception offences,B40 Theft,146
Metro Outer South,Cranbourne East,A Crimes against the person,A20 Assault and related offences,146
Metro Outer West,Point Cook,B Property and deception offences,B20 Property damage,146
Other,Springvale,B Property and deception offences,B30 Burglary/Break and enter,146
Other,Keysborough,B Property and deception offences,B30 Burglary/Break and enter,145
Metro Outer South,Doveton,A Crimes against the person,A20 Assault and related offences,145
Metro Inner East,Croydon,A Crimes against the person,A20 Assault and related offences,145
Other,Bacchus Marsh,E Justice procedures offences,E20 Breaches of orders,145
Other,Warragul,B Property and deception offences,B20 Property damage,144
Metro Inner East,Ringwood East,B Property and deception offences,B40 Theft,144
Metro Inner East,Glen Iris,B Property and deception offences,B30 Burglary/Break and enter,144
Other,Korumburra,E Justice procedures offences,E20 Breaches of orders,144
Other,Bacchus Marsh,B Property and deception offences,B40 Theft,143
Other,Noble Park,B Property and deception offences,B30 Burglary/Break and enter,143
Other,Springvale,B Property and deception offences,B50 Deception,143
Metro Inner North,Bundoora,B Property and deception offences,B30 Burglary/Break and enter,143
Metro Inner East,Wheelers Hill,B Property and deception offences,B30 Burglary/Break and enter,143
Other,Hamilton,A Crimes against the person,A20 Assault and related offences,143
Metro Inner East,Box Hill North,B Property and deception offences,B40 Theft,143
Metro Outer South,Mornington,B Property and deception offences,B30 Burglary/Break and enter,142
Metro Outer South,Endeavour Hills,E Justice procedures offences,E20 Breaches of orders,142
Metro Inner South,Bentleigh East,B Property and deception offences,B30 Burglary/Break and enter,142
Metro Inner North,Brunswick,E Justice procedures offences,E20 Breaches of orders,141
