Region,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024
Other,Frankston,B Property and deception offences,B50 Deception,240
Metro Outer West,Hoppers Crossing,E Justice procedures offences,E20 Breaches of orders,240
Metro Inner West,St Albans,B Property and deception offences,B30 Burglary/Break and enter,238
Metro Outer West,Williams Landing,B Property and deception offences,B40 Theft,237
Other,Horsham,B Property and deception offences,B20 Property damage,237
Metro Inner,Richmond,A Crimes against the person,A20 Assault and related offences,236
Other,Bendigo,B Property and deception offences,B20 Property damage,236
Metro Outer North,Craigieburn,B Property and deception offences,B20 Property damage,236
Other,Traralgon,B Property and deception offences,B20 Property damage,235
Metro Inner,Carlton,B Property and deception offences,B30 Burglary/Break and enter,235
Metro Inner North,Fawkner,B Property and deception offences,B40 Theft,235
Metro Outer North,Epping,A Crimes against the person,A20 Assault and related offences,235
Metro Inner,Fitzroy,E Justice procedures offences,E20 Breaches of orders,234
Other,Geelong,A Crimes against the person,A20 Assault and related offences,233
Metro Inner,Richmond,B Property and deception offences,B20 Property damage,233
Metro Inner North,Reservoir,B Property and deception offences,B50 Deception,232
Metro Inner East,Ringwood,A Crimes against the person,A20 Assault and related offences,232
Metro Inner East,Mount Waverley,B Property and deception offences,B30 Burglary/Break and enter,232
Metro Inner,Melbourne CBD,E Justice procedures offences,E10 Justice procedures,231
Metro Inner East,Forest Hill,B Property and deception offences,B40 Theft,231
Metro Inner,Fitzroy,A Crimes against the person,A20 Assault and related offences,230
Metro Inner,South Yarra,A Crimes against the person,A20 Assault and related offences,230
Metro Inner North,Heidelberg,B Property and deception offences,B40 Theft,228
Metro Outer North,Craigieburn,E Justice procedures offences,E20 Breaches of orders,227
Other,Wodonga,A Crimes against the person,A20 Assault and related offences,226
Other,Wallan,B Property and deception offences,B40 Theft,225
Other,Warragul,A Crimes against the person,A20 Assault and related offences,225
Other,Geelong,B Property and deception offences,B20 Property damage,224
Metro Inner North,Coburg,B Property and deception offences,B20 Property damage,224
Metro Outer West,Tarneit,B Property and deception offences,B20 Property damage,223
Other,Highton,B Property and deception offences,B40 Theft,223
Metro Inner North,Pascoe Vale,B Property and deception offences,B40 Theft,223
Metro Outer South,Berwick,B Property and deception offences,B30 Burglary/Break and enter,223
Metro Inner West,Derrimut,B Property and deception offences,B40 Theft,221
Other,Horsham,B Property and deception offences,B40 Theft,221
Metro Outer North,Greenvale,B Property and deception offences,B40 Theft,220
Other,Dandenong,B Property and deception offences,B50 Deception,220
Metro Inner East,Oakleigh South,B Property and deception offences,B40 Theft,219
Metro Inner,Clifton Hill,B Property and deception offences,B40 Theft,219
Metro Inner,Port Melbourne CBD,B Property and deception offences,B30 Burglary/Break and enter,218
Other,Dandenong,C Drug offences,C30 Drug use and possession,217
Metro Inner East,Ringwood,B Property and deception offences,B20 Property damage,217
Metro Inner West,Newport,B Property and deception offences,B40 Theft,216
Other,Wangaratta,B Property and deception offences,B20 Property damage,215
Other,North Geelong,B Property and deception offences,B40 Theft,215
Other,Portland,E Justice procedures offences,E20 Breaches of orders,214
Metro Inner,Collingwood,E Justice procedures offences,E20 Breaches of orders,213
Metro Outer North,Mernda,B Property and deception offences,B40 Theft,213
Metro Outer North,South Morang,B Property and deception offences,B40 Theft,213
Metro Inner West,St Albans,B Property and deception offences,B20 Property damage,213
Other,Swan Hill,E Justice procedures offences,E20 Breaches of orders,212
Metro Outer South,Chelsea,B Property and deception offences,B40 Theft,212
Metro Outer North,Sunbury,A Crimes against the person,A20 Assault and related offences,211
Metro Inner North,Brunswick,B Property and deception offences,B20 Property damage,211
Metro Outer West,Hoppers Crossing,B Property and deception offences,B20 Property damage,211
Other,Traralgon,B Property and deception offences,B30 Burglary/Break and enter,210
Other,Springvale,A Crimes against the person,A20 Assault and related offences,210
Metro Inner North,Brunswick,B Property and deception offences,B30 Burglary/Break and enter,210
Metro Inner,St Kilda,B Property and deception offences,B30 Burglary/Break and enter,209
Metro Inner East,Balwyn,B Property and deception offences,B40 Theft,209
Other,Corio,A Crimes against the person,A20 Assault and related offences,208
Other,Alfredton,B Property and deception offences,B40 Theft,208
Metro Inner West,Sunshine,A Crimes against the person,A20 Assault and related offences,207
Metro Inner South,Sandringham,B Property and deception offences,B40 Theft,207
Metro Inner,Fairfield,B Property and deception offences,B40 Theft,206
Other,Newtown,B Property and deception offences,B40 Theft,205
Metro Inner West,Footscray,E Justice procedures offences,E20 Breaches of orders,203
