Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024,Incidents Recorded 2025,% change,# change
Bayside,3187,Brighton East,B Property and deception offences,B40 Theft,273,296,8.424908424908416,23
Bayside,3187,Brighton East,B Property and deception offences,B40 Theft,273,1,-99.63369963369964,-272
Casey,3977,Cranbourne East,B Property and deception offences,B40 Theft,273,330,20.879120879120872,57
Casey,3977,Cranbourne,E Justice procedures offences,E20 Breaches of orders,271,262,-3.3210332103321027,-9
Greater Geelong,3212,Lara,B Property and deception offences,B40 Theft,271,424,56.45756457564575,153
Hume,3064,Roxburgh Park,B Property and deception offences,B40 Theft,270,298,10.370370370370363,28
Latrobe,3825,Moe,B Property and deception offences,B40 Theft,270,446,65.18518518518519,176
Greater Dandenong,3174,Noble Park,E Justice procedures offences,E20 Breaches of orders,269,204,-24.1635687732342,-65
Bayside,3188,Hampton,B Property and deception offences,B40 Theft,269,355,31.97026022304832,86
Hume,3064,Mickleham,B Property and deception offences,B40 Theft,268,455,69.77611940298507,187
Cardinia,3810,Pakenham,B Property and deception offences,B20 Property damage,268,319,19.02985074626866,51
Greater Dandenong,3171,Springvale,E Justice procedures offences,E20 Breaches of orders,268,115,-57.089552238805965,-153
Melton,3338,Melton South,B Property and deception offences,B40 Theft,267,379,41.94756554307115,112
Horsham,3400,Horsham,A Crimes against the person,A20 Assault and related offences,267,261,-2.2471910112359605,-6
Latrobe,3825,Moe,E Justice procedures offences,E20 Breaches of orders,266,283,6.390977443609014,17
Latrobe,3825,Moe,E Justice procedures offences,E20 Breaches of orders,266,3,-98.87218045112782,-263
Whittlesea,3075,Lalor,B Property and deception offences,B40 Theft,265,447,68.67924528301887,182
Manningham,3108,Doncaster,B Property and deception offences,B30 Burglary/Break and enter,262,263,0.3816793893129722,1
Knox,3153,Bayswater,B Property and deception offences,B40 Theft,262,448,70.99236641221374,186
Casey,3805,Narre Warren,A Crimes against the person,A20 Assault and related offences,262,286,9.160305343511443,24
Melbourne,3008,Docklands,A Crimes against the person,A20 Assault and related offences,262,372,41.984732824427475,110
Frankston,3910,Langwarrin,B Property and deception offences,B40 Theft,261,351,34.48275862068966,90
Whitehorse,3125,Burwood,B Property and deception offences,B40 Theft,259,330,27.413127413127402,71
Whitehorse,3125,Burwood,B Property and deception offences,B40 Theft,259,72,-72.2007722007722,-187
Wyndham,3029,Hoppers Crossing,A Crimes against the person,A20 Assault and related offences,259,256,-1.158301158301156,-3
Brimbank,3021,St Albans,E Justice procedures offences,E20 Breaches of orders,259,204,-21.235521235521237,-55
Hume,3429,Sunbury,E Justice procedures offences,E20 Breaches of orders,258,206,-20.155038759689926,-52
Whitehorse,3151,Burwood East,B Property and deception offences,B40 Theft,258,426,65.11627906976744,168
Stonnington,3145,Malvern East,B Property and deception offences,B30 Burglary/Break and enter,258,278,7.751937984496116,20
Stonnington,3144,Malvern,B Property and deception offences,B40 Theft,258,322,24.8062015503876,64
Casey,3978,Clyde,B Property and deception offences,B40 Theft,255,365,43.13725490196079,110
Greater Dandenong,3174,Noble Park,A Crimes against the person,A20 Assault and related offences,252,261,3.571428571428581,9
Hume,3047,Broadmeadows,A Crimes against the person,A20 Assault and related offences,252,235,-6.746031746031744,-17
Greater Geelong,3216,Grovedale,B Property and deception offences,B40 Theft,252,357,41.66666666666667,105
Manningham,3109,Doncaster East,B Property and deception offences,B40 Theft,251,336,33.86454183266932,85
Yarra,3054,Carlton North,B Property and deception offences,B40 Theft,250,253,1.200000000000001,3
Yarra,3054,Carlton North,B Property and deception offences,B40 Theft,250,11,-95.6,-239
Greater Geelong,3218,Geelong West,B Property and deception offences,B40 Theft,249,275,10.441767068273089,26
